空の缶はうるさい,からのかんはうるさい
河童の川流れ,かっぱのかわながれ
虻蜂とらず,あぶはちとらず
塞翁がうま,さいおうがうま
出る杭は打たれる,でるくいはうたれる
クモの子を散らす,くものこをちらす
良薬は口に苦し,りょうやくはくちににがし
お茶の子さいさい,おちゃのこさいさい
アゼルバイジャン,あぜるばいじゃん
アラブ首長国連邦,あらぶしゅちょうこくれんぽう
アイルランド,あいるらんど
アメリカ合衆国,あめりかがっしゅうこく
アルゼンチン,あるぜんちん
アンゴラ,あんごら
イタリア,いたりあ
イギリス,いぎりす
イスラエル,いすらえる
イラン,いらん
イラク,いらく
インド,いんど
ウルグアイ,うるぐあい
ウクライナ,うくらいな
ウズベキスタン,うずべきすたん
エジプト,えじぷと
エクアドル,えくあどる
オーストリア,おーすとりあ
オーストラリア,おーすとらりあ
オランダ,おらんだ
中華人民共和国,ちゅうかじんみんきょうわこく
パプアニューギニア,ぱぷあにゅーぎにあ
クセになる味アンキモ,くせになるあじあんきも
あなたの靴が赤いですね,あなたのくつがあかいですね
まぶしい時はサングラス,まぶしいときはさんぐらす
ロッテ勝ったかな,ろってかったかな
あの人は何だか面白い,あのひとはなんだかおもしろい
昆布ですよ昆布,こんぶですよこんぶ
俺が噂のはにわさん,おれがうわさのはにわさん
何だかやんなっちまうなぁ,なんだかやんなっちまうなぁ
アサリとシジミって貝なんですね,あさりとしじみってかいなんですね
頭ポリポリ,あたまぽりぽり
肉もちゃんと食べなさい,にくもちゃんとたべなさい
アイムソーリーヒゲソーリー,あいむそーりーひげそーりー
カラスとトンビ,からすととんび
そば打ち名人サム,そばうちめいじんさむ
二階から目潰し,にかいからめつぶし
何だか腕がかゆいよ,なんだかうでがかゆいよ
たこ焼き,たこやき
フライドポテト,ふらいどぽてと
鬼に金棒,おににかなぼう
老若男女,ろうにゃくなんにょ
生麦生米生卵,なまむぎなまごめなまたまご
百花繚乱,ひゃっかりょうらん
天上天下,てんじょうてんげ
マクドナルド,まくどなるど
ワンピース,わんぴーす
妖怪,ようかい
パリの雪,ぱりのゆき
ウイスキー,ういすきー
シャンパン,しゃんぱん
猿も木から落ちる,さるもきからおちる
バスガス爆発,ばすがすばくはつ
秋田ノーザンハピネッツ,あきたのーざんはぴねっつ
ブラウブリッツ秋田,ぶらうぶりっつあきた
コア学園,こあがくえん
竿燈大通り,かんとうおおどおり
経理情報,けいりじょうほう
群雄割拠,ぐんゆうかっきょ
男鹿半島,おがはんとう
壁に耳あり障子に目あり,かべにみみありしょうじにめあり
親の心子知らず,おやのこころこしらず
桃栗三年柿八年,ももくりさんねんかきはちねん
ニュースポーツカーエックス,にゅーすぽーつかーえっくす
ハイブリッド,はいぶりっど
レジェンド,れじぇんど
インスパイア,いんすぱいあ
アコード,あこーど
イモビライザー,いもびらいざー
ビルシュタイン,びるしゅたいん
フーガ,ふーが
パドルシフト,ぱどるしふと
アイサイト,あいさいと
クルーズコントロール,くるーずこんとろーる
バラード,ばらーど
大蛇,おろち
薔薇,ばら
タイプアールゆーろ,たいぷあーるゆーろ
ディーバ,でぃーば
無限,むげん
漁夫の利,ぎょふのり
麒麟,きりん
ミッドシップリアエンジン,みっどしっぷりあえんじん
アルファロメオ,あるふぁろめお
クロスオーバー,くろすおーばー
上越南,じょうえつみなみ
大館市,おおだてし
静岡西,しずおかにし
横浜,よこはま
新東京,しんとうきょう
野田,のだ
プリモ,ぷりも
クリオ,くりお
ベルノ,べるの
花火,はなび
猫に小判,ねこにこばん
豚に真珠,ぶたにしんじゅ
比内地鶏,ひないじどり
海水浴,かいすいよく
森羅万象,しんらばんしょ
一騎当千,いっきとうせん
百発百中,ひゃっぱつひゃくちゅう
疾風迅雷,しっぷうじんらい
八方美人,はっぽうびじん
秋田県,あきたけん
秋田杉,あきたすぎ
秋田犬,あきたいぬ
竿燈,かんとう
鰰,はたはた
東京特許許可局,とうきょうとっきょきょかきょく
千秋公園,せんしゅうこうえん
比内地鶏,ひないじどり
日本刀,にほんとう
風神雷神,ふうじんらいじん
尊王攘夷運動,そんのうじょういうんどう
きりたんぽ,きりたんぽ
なまはげ,なまはげ
登竜門,とうりゅうもん
国士無双,こくしむそう
画竜点睛,がりょうてんせい
疾風迅雷,しっぷうじんらい
百花繚乱,ひゃっかりょうらん
臥薪嘗胆,がしんしょうたん
因果応報,いんがおうほう
明鏡止水,めいきょうしすい
唯我独尊,ゆいがどくそん
天下統一,てんかとういつ
電光石火,でんこうせっか
疾風怒濤,しっぷうどとう
猪突猛進,ちょとつもうしん
風林火山,ふうりんかざん
雲外蒼天,うんがいそうてん
